"Product","Price","Rating","Merchant Store"
"Samsung Galaxy M12 4/64GB 3/32GB Garansi Resmi 3 GB 32 GB 4 GB 64 GB","Rp1.629.000","","Distributor Ponsel"
"Samsung Galaxy A32 8/128 RAM 8GB 128GB Garansi Resmi Samsung Indonesia","Rp3.375.000","","SFONE OMNI STORE"
"Xiaomi Redmi Note 10 5G Garansi Resmi","Rp2.483.000","","Antaboga Phone"
"OPPO A5S 3/32 GB","Rp999.000","","Zhufu jian"
"Samsung Galaxy A22 4G 6/128 - Garansi Resmi SEIN","Rp2.815.000","","PRISMA ROXY"
"iTEL VISION A26 2/32 GB Garansi Resmi","Rp893.900","","MetaCore"
"Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi","Rp1.360.000","","PS.ONLINE OFFICIAL STORE"
"iPhone 12 Pro 128GB Second Garansi Apple masih aktif","Rp11.580.000","","Tara Phone"
"XIAOMI REDMI 9A 3/32 BARU","Rp1.229.000","","GBU+"
"XIAOMI REDMI 9A 3/32 BARU","Rp1.229.000","","GBU+"
"XIAOMI REDMI 9C RAM 4/64GB GARANSI RESMI XIAOMI INDONESIA TERMURAH","Rp1.673.900","","Hapemall.id"
"Nokia 105 King (2019) Garansi Resmi TAM","Rp232.000","","LJS OFFICIAL"
"XIAOMI POCO X3 NFC 6/64 SECOND FULLSET","Rp2.399.000","","NextIN Store ID"
"Xiaomi BlackShark 4 Pro 5G 512GB 256GB 128GB Original IMEI AMAN","Rp9.225.000","","Studio Ponsel"
"OPPO Find X3 Pro 5G Qualcomm® SnapdragonTM 888, Panel AMOLED","Rp13.230.000","","Evogad Official"
"Xiaomi Poco M3 Pro 5G 4/64 6/128 GB RAM 4GB 6GB ROM 64GB 128GB Resmi","Rp2.387.000","","SUPER_GADGET"
"IPHONE 7 + PLUS 128GB GARANSI RESMI IBOX TAM - BLACK ROSE GOLD SILVER","Rp2.575.000","","BintaroCellular"
